IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Consent,wolf,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_4,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age_1,politics_1,religaffil,other,UID,arm
72.240.124.183,261,8/24/26 10:56,R_1NKhGWwHyIagooO,41.7015,-83.4833,EN,69c40d28c30b893ac40d1b70,lion,0,0,50.448,0,0,0,14.527,0,0,100,0,6.76,6.76,12.23,1,Science is provable over and over again There has never been any scientific findings of a high power,5.499,34.719,36.214,2,2,5,7.781,17.341,18.699,2,74,15.107,17.571,18.302,2,58,2,3,3,5,1,0,1,5,5,5,1,38,85,10,athiest,R_1NKhGWwHyIagooO,1
140.194.140.14,153,8/24/26 10:56,R_6jDFbinAquJHkph,38.5662,-121.5525,EN,69fe0eab84d6a2e6b2aa6f90,lion,0,0,3.552,0,0,0,2.181,0,0,0,100,12.214,12.214,16.86,1,As a scientist I rely on science and the scientific process to indicate truth The selection made is the only option which is supported by science,2.095,2.095,35.658,1,3,4,4.253,8.495,9.954,2,41,4.541,4.541,5.584,1,50,1,3,3,5,2,0,1,1,1,1,1,45,73,11,agnostic ,R_6jDFbinAquJHkph,1
68.43.198.160,267,8/24/26 10:56,R_5D1LZ9TMA2REFSp,42.5586,-83.4773,EN,69631d593b5f19333109d7d2,Lion,0,0,32.988,0,0,0,11.077,0,0,100,0,10.799,31.712,34.78,3,Every reputable scientific study continually points to there being no such thing as a higher power While you probably expect people to lean towards the unknowable choice if they dont follow religion the truth is that we are able to observe natural laws and connect them to how the universe functions,1.514,1.514,67.701,1,3,5,6.719,16.911,18.163,2,75,8.722,8.722,9.636,1,70,1,5,3,5,1,0,1,5,5,5,1,40,100,11,Agnostic Atheist,R_5D1LZ9TMA2REFSp,1
216.228.189.18,244,8/24/26 10:56,R_6fCMM30U4QVS4I3,44.2762,-121.1847,EN,6721a99653346fd7b593ee96,Lion,0,0,14.163,0,0,0,4.147,0,5,80,15,15.698,25.614,27.507,5,I believe in science but will we discover the logic and science behind creation We may extinguish ourselves before we yet have the chance to unravel the mysteries of how we came to be Some things will remain unknowable despite capability of humankind due to our own self immolation And yet we cannot disprove the higher being until we solve such unsolvable mystery because weve doomed ourselves more or less we cannot deny the possibility of God or of His like,1.123,1.123,105.195,1,3,4,3.498,11.831,12.724,4,34,3.022,6.009,8.377,5,76,2,3,4,5,4,0,1,5,5,5,1,31,75,10,"I don't deny, but I shan't believe. ",R_6fCMM30U4QVS4I3,1
96.249.227.120,282,8/24/26 10:56,R_6GoVr2bsUQzYdvp,36.7969,-76.1797,EN,63b63938dbf229f3eb46d4a4,lion,3.234,5.184,19.858,3,0,0,5.855,0,0,0,100,3.176,59.377,63.654,11,I just wanted to make you happy so I allocated less to the category you requested I didnt care what allocations I made so it was okay with me to give you the data you requested,2.061,24.785,63.753,2,3,3,4.034,20.063,21.989,3,51,7.038,7.038,7.955,1,60,2,3,5,5,2,0,1,5,5,5,1,53,50,11,none,R_6GoVr2bsUQzYdvp,1
75.97.14.97,282,8/24/26 10:56,R_6TY04j2P12kuRsi,40.1634,-76.395,EN,6a20309b1f415db7ef33934b,Lion,0,0,26.73,0,0,0,12.877,0,35,5,60,16.599,23.583,41.337,3,In the directions you stated to distribute less tokens in the undirected section That you would prefer the participants to do that So that was what I did I allocated only 5 tokens to that particular category,4.178,4.178,57.173,1,4,3,7.612,15.408,19.435,2,92,5.094,6.073,6.74,3,9,1,5,5,5,2,0,1,5,5,5,1,51,8,2,I am roman catholic but do not really practice religion anymore.,R_6TY04j2P12kuRsi,1
70.120.220.50,277,8/24/26 10:57,R_5fB5fFVZH4DUCzl,29.2152,-99.7928,EN,69f22f96a3f45d53e98ee4a2,Lion,0,0,36.459,0,0,0,17.882,0,5,25,70,4.769,11.826,15.017,3,Im agnostic so I dont believe that we can know whether the universe was created by a higher power or not While the universe follows specific physical laws and theres evidence that it was created via the Big Bang there is no way to rule out that this was in some way guided by a higher power However there is at least some concrete evidence to support an undirected origin so I ranked this option higher than the directed origin option,2.581,2.581,80.437,1,2,3,4.457,12.81,13.657,4,30,8.104,11.328,13.212,2,20,2,1,3,5,4,0,3,2,2,4,1,26,100,11,Agnostic/Spiritual/Native American Religion,R_5fB5fFVZH4DUCzl,1
152.36.146.166,331,8/24/26 10:57,R_64SEsGEn57kxq8N,30.5256,-89.6779,EN,5d46c3ac090549001867b746,lion,2.788,22.58,42.104,5,0,0,10.415,0,10,80,10,1.208,39.856,43.999,7,The universe exists and the reality we perceive is explained by quantum psychics Your reality does not exist until you observe it,1.264,43.7,68.935,2,2,5,1.405,13.456,14.084,4,41,3.571,4.839,5.636,2,18,2,3,4,5,2,0,5,2,2,2,1,48,52,13,"spritual, I try not to hurt anyone but I don't believe in a ""God""",R_64SEsGEn57kxq8N,1
70.188.120.52,304,8/24/26 10:57,R_3HPOtupzRdUZNBL,29.9477,-92.2416,EN,69dd9b44c69a3b79b9e12aae,lion,0,0,32.181,0,0,0,6.51,0,50,30,20,63.975,75.335,78.002,3,I believe that there are a lot of things that are explainable through science but there are some that cannot In these circumstances it makes you wonder what could actually be the real reasoning behind our existence It could either be a higher power which is likely due to the crazy situations that have occurred in nature but that is also an unknown which is why I allocated in such a way,3.131,3.131,85.543,1,3,2,9.96,17.352,17.703,3,45,6.015,7.839,8.474,4,18,1,5,5,5,2,0,1,3,5,5,1,28,40,11,Spiritual and unsure.,R_3HPOtupzRdUZNBL,1
63.115.57.2,299,8/24/26 10:57,R_77wjJE6JMhykMzG,40.4551,-74.4871,EN,69b5515a47d7084133718bd2,lion,0,0,13.689,0,0,0,23.211,0,25,25,50,4.109,11.846,13.07,4,I felt like I was unsure so I split it I felt strongly about the first option so I put half my tokens there and the other two I was split on so I split the other 50,32.211,33.035,59.297,2,4,2,7.536,13.185,13.892,2,80,15.609,15.609,16.749,1,62,1,3,5,5,3,0,5,1,1,1,1,43,50,2,"currently exploring christianity , was raised catholic",R_77wjJE6JMhykMzG,1
24.164.75.135,360,8/24/26 10:57,R_54BIkK9MFbFbSzs,39.5082,-84.3987,EN,65ef444cc7c7a97ca2802263,lion,4.459,31.414,40.595,2,0,0,27.429,0,45,36,19,3.371,22.012,25.865,5,I believe that this is possible more than not There are meanings and things beyond our control that exist,5.51,67.678,68.588,3,3,4,4.432,11.944,12.843,4,55,4.925,4.925,5.873,1,65,1,4,5,5,1,1,1,2,4,4,1,52,50,2,Catholic,R_54BIkK9MFbFbSzs,1
173.26.238.86,351,8/24/26 10:57,R_7fviuXUuZiRd1gt,33.3931,-111.5768,EN,6568b0b4e9cc3024c09286f9,Lion,14.606,23.029,37.625,3,0,0,18.569,0,0,50,50,7.781,39.381,43.959,4,I dont believe in intelligent design nor do I believe in a supreme being or divine authority Im torn between the other two options,3.918,3.918,74.364,1,4,5,9.109,21.37,22.101,3,30,9.543,10.303,11.446,2,79,1,4,5,5,3,0,1,5,5,5,1,74,100,10,No religion ,R_7fviuXUuZiRd1gt,1
107.194.167.172,363,8/24/26 10:58,R_3QMGEZgrqQjH96z,35.1841,-89.8588,EN,6a034919179e7e7b55cac088,lion,0,0,57.053,0,0,0,10.096,0,25,25,50,6.691,12.646,14.912,3,I really think the origins of the universe are mostly unknowable While yes we can observe meaningful data about things in a lot of ways we have to guess how that data fits which is why these fields are evolving and revising constantly,3.074,65.384,89.641,5,2,4,4.254,12.831,13.549,2,30,7.181,7.181,7.898,1,35,1,5,3,5,4,0,1,4,5,5,1,44,50,11,My religious beliefs are summed up basically as I have no idea. I think atheist is arrogant but I also don't feel much truth from most religions that I know about,R_3QMGEZgrqQjH96z,1
208.38.236.44,392,8/24/26 10:58,R_3Pe7NZWRGCavj7R,40.0435,-86.4594,EN,6a03e04703326266e2ddf1c1,Lion,12.204,45.541,50.3,2,0,0,13.789,0,70,0,30,47.449,55.075,55.688,4,I just believe in a higher power Scientist have information based on studies and results Well man made those things Still doesnt mean something stronger than man didnt set all of this into motion,4.928,100.696,108.575,3,4,1,6.545,16.11,16.7,4,73,6.791,6.791,7.449,1,7,2,4,4,5,2,0,4,2,2,2,1,57,90,1,Spiritual...ancient aliens,R_3Pe7NZWRGCavj7R,1
174.235.160.115,430,8/24/26 10:58,R_7VyeuJzguzwU29b,38.768,-121.3349,EN,6a1de13c1e80fdf05065041b,Lion,4.048,34.061,36.49,4,0,0,11.026,0,10,40,50,1.193,44.148,46.119,10,Overall humans are not equipped to know the true purpose of the universe It will always be unknown to us and that is how it should be Knowing the intent of the creation and running of our world would break down any and all order we have set up It is possible though that we have been created from a higher being or force or perhaps simply just dumb luck that we are here,4.093,4.093,115.531,1,2,4,1.056,24.022,25.841,7,56,5.146,7.262,7.764,2,37,5,2,4,5,4,0,1,1,1,1,1,28,56,1,"Christianity, non denominational ",R_7VyeuJzguzwU29b,1
174.233.90.68,391,8/24/26 10:58,R_5THsxATTbX9HuTo,33.972,-118.242,EN,6942e8ea205acb2aae3c09b8,Lion,24.582,65.048,65.926,4,0,0,11.556,0,45,15,40,9.089,47.77,56.954,7,I dont think the universe just randomly happened but Im a bit torn between unknowable and direct origination so I allocated thusly,15.302,15.302,55.961,1,4,3,7.32,16.478,17.391,4,62,17.733,17.733,18.633,1,46,3,3,3,5,2,0,1,3,3,4,1,34,90,1,"Spiritual, Protestant ",R_5THsxATTbX9HuTo,1
24.250.33.141,419,8/24/26 10:58,R_6DSjB2La9ppCCy1,41.8233,-71.441,EN,6a2c3886d01fb5face0d089a,lion,0,0,41.246,0,0,0,10.322,0,45,45,10,3.292,14.659,17.521,9,Well I represented my position as an agnostic An agnostic neither believes nor disbelieves though a stronger agnostic might say the claim is unknowable which is represented in the third position I have taught philosophy of religion at university and after pursuing the various arguments I think the fact that the universe had some kind of beginning in time is not sufficient to establish a position First because it cannot determine whether the cause has the properties of God has a mind designs etc And second of all the fact that universe had an origin at some finite time ago is consistent with its everlasting existence Its just that the universe has an earliest edge,1.646,41.876,130.604,4,3,2,5.389,16.338,21.064,2,35,11.569,11.569,12.471,1,65,2,4,4,5,1,0,2,4,2,4,1,34,70,11,"I am agnostic, though I grew up very Christian and it still has an influence on me. In one sense, I still live a Christian life. I read, am motivated by, and love the story in the Bible culminating in Jesus (amongst other stories of greatness I find in the Old Testament.) But this is a point of how I live. Whether I believe is a difficult matter to decide, and I describe myself as agnostic. ",R_6DSjB2La9ppCCy1,1
74.140.107.162,436,8/24/26 10:59,R_37PBSkFg7Bj4DYG,40.0732,-82.4017,EN,5f2f03deec679e2cf4a992e6,lion,2.18,27.117,61.128,2,0,0,21.6,0,85,5,10,41.286,53.37,53.951,5,I believe in God and the role that science plays is not mutaly exclusive of that By that I mean that God could just as easily be the origin of the big bang and everything else we observe so to me it does not matter what science says about its creation because I believe God created the universe In addition I placed some tokens into the unknowable category as I believe there is a chance that we really dont know all their is to know about every facit regardless of if we believe what religion says or science shows us,3.834,3.834,104.991,1,4,2,8.394,15.749,17.9,3,72,8.449,12.7,13.263,2,5,3,4,3,5,3,2,4,5,5,5,1,37,4,1,Evangelical (Born Again)Protestant,R_37PBSkFg7Bj4DYG,1
172.14.51.79,407,8/24/26 10:59,R_5cwEnsw07fCgdMd,29.8627,-95.5846,EN,6a21e5ef14b342f673510305,Lion,27.419,33.297,33.978,3,0,0,10.493,0,30,30,40,9.242,62.197,63.345,11,When it comes to this topic Im equally conflicted in both ways It seems as if there should be something of a higher power thats has helped create us and at the same time it could just be cosmic randomness,2.878,2.878,60.973,1,4,2,5.384,10.685,11.618,3,47,29.45,33.234,33.613,3,42,3,3,4,5,2,0,1,3,4,4,1,31,75,2,"I identify as catholic because I was brought up catholic. However, with my current beliefs it’s simply a title that I’m unsure if I want to take off I don’t practice religion at this point in my life. ",R_5cwEnsw07fCgdMd,1
96.248.87.80,463,8/24/26 11:00,R_5Rz1d1ALh7aMtxL,40.3173,-74.6199,EN,66045b60e84f1f2485dc2a4a,lion,0,0,35.361,0,0,0,12.129,0,40,40,20,43.098,49.646,55.101,3,The universe has both a purpose and was made by someone and it also has not purpose and was purely made by no one There is a small middle ground to this theory While it is encouraged to believe there is a higher power at play it is also plausible that there isnt,3.964,106.16,109.527,2,3,3,6.733,13.771,14.604,2,60,10.797,10.797,12.904,1,10,2,4,4,5,3,0,1,3,4,4,1,57,43,5,Christian,R_5Rz1d1ALh7aMtxL,1
64.79.248.173,531,8/24/26 11:00,R_3fVmUr7xiYUUkku,39.018,-77.539,EN,663cd0ab9a13d177b358f8f1,lion,1.563,2.593,4.932,2,0,0,9.473,0,40,30,30,109.852,116.536,118.994,3,I gave my allocation based on my belief and fairness about my opinion on it Allocating without the others feeling inferior can lead to disaster Thats my view on that,21.592,21.592,115.383,1,4,3,1.981,7.778,8.806,6,70,4.108,4.108,4.801,1,60,4,3,5,5,3,1,3,2,2,2,1,39,50,1,christianity,R_3fVmUr7xiYUUkku,1
68.43.212.122,515,8/24/26 11:01,R_3sR97TRxY1sa9iS,42.1955,-83.4894,EN,63dac3039dddeaa909a790fb,Lion,0,0,41.353,0,0,0,12.561,0,0,90,10,24.15,43.174,45.402,3,I simply allocated my tokens in a way that reflect my honest opinion about the origins of the universe I wasnt going to distribute them in a dishonest way just because of the little blurb about how you expected fewer people to distribute tokens to the undirected origin so I should do the same because that would be dishonest The personal framework behind my token distribution was simple honesty,1.474,152.479,154.168,5,1,5,8.247,23.186,25.836,2,82,20.89,20.89,24.293,1,70,3,2,3,5,1,0,1,5,5,5,1,41,100,10,I simply don't believe in deities or any organized religion or spirituality. I don't care about it at all.,R_3sR97TRxY1sa9iS,1
172.56.101.64,505,8/24/26 11:01,R_1Kw1numfQPQ5Eyf,28.0109,-82.4948,EN,69b43900b2c5ae36c54d6372,Lion,43.641,43.641,44.458,1,0,0,13.163,0,30,60,10,34.681,53.873,66.545,3,I believe that the universe is mostly made of unknown and unpredictable elements but some events are not random and can be explained scientifically through the properties of the earth,3.242,87.566,117.951,4,4,4,24.571,39.497,40.302,3,21,12.89,18.324,21.363,2,61,2,4,5,5,2,7,3,3,4,4,1,66,45,2,Catholic ,R_1Kw1numfQPQ5Eyf,1
45.150.80.27,611,8/24/26 11:02,R_3Hjgw9JwyFZM1iQ,47.6492,-99.6293,EN,6a1700029360cecdb8de0eae,Lion,11.731,11.731,21.017,1,0,0,62.56,0,20,20,60,1.863,74.198,83.559,3,I allocated my tokens evenly to reflect a balanced perspective Because objective scientific data explains physical processes while philosophy tackles ultimate origins I believe it is best to account for natural laws higher design and fundamental unknowability equally,1.315,1.315,242.922,1,2,4,5.161,17.159,18.756,4,80,8.445,8.445,8.956,1,90,4,3,4,5,5,7,4,2,3,2,1,59,40,1,Christianity,R_3Hjgw9JwyFZM1iQ,1
50.252.75.253,613,8/24/26 11:02,R_1QRzcGZpH4PqXeN,36.1406,-86.7508,EN,6a201b11f176d4c67039586c,Lion,0,0,45.503,0,0,0,11.117,0,99,1,0,49.359,55.623,68.755,2,Being religious I do believe that there is a higher power which would have created the entire universe The universe is so massive and diverse that random events causing its creation seem almost mathematically unlikely,2.931,2.931,91.492,1,4,1,7.801,23.028,25.306,2,10,131.239,131.239,134.394,1,50,1,2,4,5,3,3,4,1,2,2,1,40,1,1,I follow both Baptist and Luthern religions. That there is 1 true God and the Bible is his truth.,R_1QRzcGZpH4PqXeN,1
209.212.21.174,575,8/24/26 11:02,R_3NfanlVOtqtaDH8,40.0923,-74.2252,EN,611bef869f91f800ad3b193e,lion,0,0,31.668,0,0,0,8.723,0,0,0,100,10.923,10.923,34.598,1,My choice is honest and covers all contingencies The question asks something that is unknowable Was creation meaningful and pre ordained or a series of random occurrences with accidental outcomes Is it even real I have no idea,2.694,151.399,154.122,8,2,4,5.514,21.386,24.245,2,55,9.244,16.412,17.798,2,80,2,3,4,5,5,1,5,3,2,2,1,76,98,5,"Byzantine Catholic officially, but in reality I believe in nature.  I would love to believe their is a pervasive presence but I have no idea.  I would love to believe in Justice and fairness, but in truth it rarely happens.  ",R_3NfanlVOtqtaDH8,1
98.192.8.229,625,8/24/26 11:02,R_7MRwdl6NdXqcT7m,34.024,-84.2396,EN,69ea6f2b8fe01a1a4ed7216c,Lion,0,0,120.6,0,0,0,26.887,0,20,60,20,30.329,43.276,86.047,4,I feel like we have scientific evidence that shows the universe is a complex design full of big and little things instances events and such There may be some higher power or maybe at the end of the day we just cant know all the things due to the immense nature of life the universe and everything I felt like the second category fit more in how I view this topic though the first and third category also have some possible merit as well,2.866,2.866,130.415,1,4,4,7,14.644,16.4,2,35,25.402,33.005,33.922,2,10,4,2,3,5,4,0,1,4,5,5,1,46,100,11,"Confused and searching.  I want to feel the divine in the world around me, in nature, in life and living in this beautiful world, but I rarely feel that connection.  My present religion is uncertain, I want to believe there is some bigger cosmic entity or entities, but I really don't know anymore.",R_7MRwdl6NdXqcT7m,1
73.138.180.165,580,8/24/26 11:03,R_5ZR0IA6GgO6oepi,27.3196,-80.4017,EN,62faba5f904642df812944fa,lion,37.755,47.949,92.686,3,4.439,13.313,33.663,3,90,0,10,33.313,38.3,68.346,3,I believe the universe is complicated and derived from a Universal Source or God if you wish to call it that It is too complex to not be directed at all but still there is some doubt about this Source so that at this point it could still be unknown,3.579,136.929,138.041,9,4,3,5.6,14.026,19.474,2,80,11.743,11.743,17.852,1,51,3,4,3,5,5,0,5,2,2,3,1,71,50,12,I am very spiritual but not bound to any organized religion.,R_5ZR0IA6GgO6oepi,1
76.34.141.66,695,8/24/26 11:04,R_6QGWhjj3egIyp2h,38.7317,-82.9977,EN,69e7c7ae91e3de8ecf3693a8,lion,6.261,14.54,88.417,3,0,0,16.266,0,27,20,53,5.571,59.552,62.195,11,Honestly I dont think it will ever be known why and how everything was created and what happens after we are gone so that is why the 55 tokens went with it I used to be more positive about a higher power but the more and more terrible things I see happening and horrible people getting by with things in the world it has caused my belief to shrink more and more so that is why I am 50 50 on the other two choices,1.19,203.974,251.345,4,3,5,10.229,22.3,23.29,3,55,10.915,10.915,20.33,1,30,4,4,3,5,2,1,1,3,2,2,1,38,85,11,"Agnostic. I still believe somewhat in a higher meaning, but my belief in one singular higher power is waning",R_6QGWhjj3egIyp2h,1
98.122.216.73,770,8/24/26 11:05,R_5QMm88UU4lIl8Gd,34.3776,-81.0957,EN,6a023ad806e8158958e73b75,Lion,14.513,56.978,59.291,6,0,0,20.078,0,100,0,0,3.436,96.437,98.05,3,I dedicated all 100 tokens to what I believe to be true which is that there is a greater power or a greater source that not only put us here but has control over us as beings,6.555,206.362,210.566,16,4,2,4.57,20.445,21.148,4,40,8.78,9.385,11.119,2,80,1,5,5,5,2,9,5,1,2,2,1,33,100,5,Christian.,R_5QMm88UU4lIl8Gd,1
173.64.118.216,854,8/24/26 11:06,R_1oXh31nucemfMYN,39.2514,-76.7979,EN,6229fff149374541c22a95bf,Lion,6.207,69.771,69.786,6,0,0,23.704,0,33,34,33,41.108,138.391,139.16,7,I believe that each option is viable Something had to exist before the universe existed so a Supreme being is possible The problem is where did God come from If there is no God then the second option is viable as I believe in science and its findings are logical The problem is that where did the matter come from to create the universe That leaves the third option that we do know enough to have the correct answer,12.558,397.239,397.966,8,4,4,25.562,34.993,35.694,3,50,10.97,14.424,15.034,4,20,2,5,5,5,3,0,4,5,3,2,1,72,46,2,Non practicing Roman Catholic,R_1oXh31nucemfMYN,1
73.155.87.6,956,8/24/26 11:08,R_3gjdZmri1A3Lr0m,29.7422,-95.4854,EN,69ebefb13fa79ffb15bf3943,Lion,37.63,63.584,84.66,2,0,0,22.504,0,30,35,35,9.445,135.955,136.939,18,I cant explain how this universe came to be and neither can anybody else for that matter Of all the plausible ways it could have come about I would believe more in the idea that some form of matter made some sort of disturbance which began the process of a lifecycle being made,3.991,143.741,145.442,2,4,4,6.539,106.349,107.456,16,70,23.431,32.644,33.591,4,96,3,4,4,5,3,8,3,2,3,2,1,39,35,1,My religion is closest to Baptist. I mean whatever sect of Christian that falls under I’m very confused with all these different spin off religions this is ridiculous!,R_3gjdZmri1A3Lr0m,1
71.121.175.4,755,8/24/26 11:11,R_3KfYND4KAV4naHW,39.3855,-76.54,EN,699e58b250ca8365fddbec76,lion,0,0,232.341,0,0,0,6.024,0,0,0,100,20.771,20.771,27.492,1,That is a topic that can never truly be known so I chose unknowable,3.289,3.289,24.8,1,3,2,251.643,262.376,263.446,2,30,10.629,10.629,11.677,1,20,1,4,3,5,2,0,1,4,4,4,1,44,90,10,Atheist ,R_3KfYND4KAV4naHW,1
71.68.243.226,603,8/24/26 11:13,R_7DoULWT1bxsl2KP,35.8015,-80.8967,EN,6a0d15382579961fb6113fe9,lion,0,0,1.749,0,0,0,3.809,0,50,25,25,24.546,119.233,157.297,7,i distributed the tokens putting the most one statements that I felt were more true than others,1.261,15.546,167.135,7,2,2,26.226,113.909,114.723,4,24,6.317,8.558,10.165,3,63,3,4,4,5,3,0,1,5,5,5,1,40,20,11,non religious,R_7DoULWT1bxsl2KP,1
