IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,PID,treatment,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age,politics,religaffil,otherreligion,arm,Total approvals,Age2,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
74.67.179.22,642,8/24/26 11:09,R_6KHP5W6aYjAM8jy,42.8097,-77.6624,5a973b8235237b0001127686,cosmo,0,0,68.187,0,0,0,24.88,0,8,64,28,16.075,62.404,64.846,6,I placed most tokens in the random not spiritual response There has never been evidence a God or Gods exist and for how much suffering exists it feels more unlikely presently I placed about a quarter of the tokens in the unknown category I feel as though no one knows for sure until solid evidence exists I put a very small amount in the spiritual existing response I suppose there is a chance but dont think it is likely,12.177,12.177,254.402,1,2,4,46.434,49.145,50.5,3,18,18.789,18.789,19.783,1,23,4,2,3,4,0,1,5,5,5,1,46,85,11,none or agnostic,2,9622,46,Female,White,United States,United States,United States,English,No,Part-Time
72.206.118.35,607,8/24/26 11:07,R_3Ev9nieBoVtn9Uw,41.1156,-95.9375,5b3e322998a45e0001edd87a ,cosmo,3.767,81.013,81.467,11,7.921,19.613,33.575,3,50,20,30,1.467,57.014,57.751,10,I believe that the universe can be traced by using laws of physics Of course we will never know the absolute beginning which leaves questions,71.201,71.201,212.595,1,4,2,10.746,27.4,28.072,4,74,1.456,27.495,27.901,7,21,2,4,4,2,0,3,2,2,2,1,59,23,2,Catholic,2,13828,59,Female,White,United States,United States,United States,English,No,Full-Time
68.114.134.184,1190,8/24/26 11:23,R_7pmQSsHFQHzdXat,36.5818,-87.4162,5c1976c90d57c30001b4162c,cosmo,21.206,50.968,94.86,3,0,0,25.472,0,100,0,0,5.363,5.363,17.76,1,The only choice that makes any sense to me is the directed universe The claim that the universe is 13 8 billion years old is ridiculous Im not sure of the exact language or phrasing used in what you had me read Putting such an exact number on something that cannot be tested except theoretically is just stupid The fact that I think the claim is ridiculous doesnt have much to do with why I believe in the directed universe We are supposed to believe in entropy and randomness and at the same time believe that the world became more organized and complex over time That does not make sense to me,6.987,337.591,633.503,15,2,1,6.689,23.741,30.604,4,25,14.207,16.045,27.349,2,70,1,5,5,1,0,5,3,1,1,1,75,15,1,non denominational Christian,2,11311,75,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
130.44.143.14,262,8/24/26 11:02,R_33l2j9K4LRtJ2H0,42.3797,-71.1034,5c3a865019ceb400010c914a,cosmo,0,0,38.566,0,0,0,11.308,0,15,35,50,2.892,2.892,14.204,1,We cannot know for sure who or what made the universe It can go both ways I more lean towards undirected I think there is low chance it was made by an all knowing God,1.87,1.87,71.734,1,1,5,5.923,13.549,13.918,6,35,11.627,11.627,12.351,1,16,3,3,2,3,0,1,1,1,1,1,48,81,11,agnostic,2,15959,48,Male,Asian,Vietnam,United States,United States,English,DATA_EXPIRED,Full-Time
172.56.160.72,380,8/24/26 11:02,R_1QA8l6ujbkLx3EZ,40.7035,-73.9235,5c7c73b6f48c6d0001f6f49c,cosmo,0,0,39.929,0,0,0,13.581,0,30,10,60,18.284,36.541,39.56,3,It feels like a lot of life and what has been studied so far is connected in some way Even distant things find ways to relate or be purposeful across the world universe so its hard to agree its all directionless It feels more like theres a higher power or set of guidelines for the way this all works However were all still unsure one way or another,0.724,144.866,145.261,3,3,5,5.256,10.966,13.305,2,45,6.354,8.168,10.681,2,75,1,4,5,1,0,2,2,2,2,1,32,58,1,Evangelical Christian,2,8829,32,Male,Black,United States,United States,United States,English,Yes,Full-Time
73.206.112.50,318,8/24/26 11:06,R_5eq80fLINsuVdbP,29.6009,-95.224,5c8db07eb1f89a0016777fe0,cosmo,0,0,35.288,0,1.181,1.181,32.088,1,20,0,80,2.026,5.373,15.764,2,There is no scientific way to know how the universe came to be I believe in God so I think God created the world just like it says in the bible I dont think there is any truth to the big bang theory and it actually just sounds ridiculous,1.111,1.111,67.147,1,5,4,29.866,43.93,48.558,2,70,4.963,9.475,10.439,2,3,1,1,5,1,4,6,1,1,1,1,38,100,1,Christian Baptist,2,15033,38,Female,White,United States,United States,United States,English,No,Full-Time
71.57.1.139,168,8/24/26 11:00,R_5myMub4WoqCsgRw,41.8395,-87.7555,5cbfd2c776a6810001fd29b2,cosmo,5.898,15.949,16.533,2,2.177,2.177,6.462,1,25,50,25,7.311,7.311,19.512,1,I think its because of what we know I think it is ever expanding and we have data to back up how it began It isnt completely proven but it is evident that that is the case,3.659,3.659,48.783,1,4,4,1.831,4.106,4.605,3,64,5.776,5.776,6.275,1,73,2,4,4,4,0,1,1,1,1,1,33,53,11,None in particular,2,4495,33,Male,White,United States,United States,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
73.242.198.15,251,8/24/26 11:01,R_7flMNVDLZdlfYbf,35.6591,-106.0171,5d8d12f6d88e3a00142c9751,cosmo,0,0,21.457,0,3.248,3.744,16.128,2,34,33,33,16.253,19.975,21.349,7,I think each of the three scenarios described is equally possible which is why I assigned one third of my tokens to each scenario I have tremendous uncertainty about the origins of the universe hence my ambiguity in token distribution,1.046,4.547,73.943,2,4,4,5.005,11.37,12.464,2,52,10.209,10.209,10.804,1,70,2,4,4,3,1,5,2,2,2,1,41,50,1,Episcopalian,2,9174,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66.176.189.174,722,8/24/26 11:08,R_1W5BpKXy5OzGA0N,26.6239,-80.0948,5ddcd77f23f9f1c2c45d6c18,cosmo,11.858,37.733,37.7,4,12.906,12.906,13.771,1,12,28,60,8.125,33.585,34.701,8,If some entity created the universe then it would make it known without any doubt The big bang theory is the best answer humans can come up with using everything known at this time Since it is a theory some doubt has to be considered,38.532,297.941,299.601,9,1,5,5.869,46.223,50.001,10,18,15.463,18.605,21.065,2,30,3,3,3,1,0,1,5,5,5,1,71,85,10,Anti theist,2,5829,71,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
73.36.253.229,253,8/24/26 11:04,R_1qBspcchyhxzs4c,41.5679,-87.538,5e62e02013d10e079abee365,cosmo,0,0,8.488,0,0,0,4.284,0,20,50,30,14.809,21.942,23.26,3,the only thing that we know is that we know nothing While laws seem to exist within the physical world it is impossible to know whether or not these laws apply to everything outside of our physical world and what we are able to experience,1.782,1.782,61.632,1,4,3,2.222,5.45,5.968,2,70,2.248,7.242,7.484,3,80,2,4,4,3,0,1,1,1,1,1,27,81,11,i accept the idea of a power controlling the universe and something that created its existence but I am unsure of exactly the force that which it might be,2,3554,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
172.56.12.204,471,8/24/26 11:04,R_6aWhAj3Nue7tlv1,44.9834,-93.2622,5e7a1fd57974b805e6ef7db7,cosmo,1.129,36.267,37.194,4,0,0,2.771,0,90,5,5,6.897,28.632,33.649,4,My reasoning behind my personal framework stems from being able to acknowledge what I know vs what I dont know If I knew something was going to a good cause I would use more tokens if I felt like it wasnt I would use less,8.39,134.318,134.953,2,3,3,1.442,7.518,12.76,8,58,0.892,5.744,6.523,19,66,2,5,4,3,3,2,3,2,3,1,21,89,1,African Christianity,2,520,21,Male,Black,United States,United States,United States,English,Yes,Full-Time
24.94.14.2,343,8/24/26 11:07,R_12DtvZ4eTwfeMQ9,34.1147,-117.3845,5ffb8c5b60571908f3ac19fa,cosmo,11.166,11.166,15.002,1,0,0,10.084,0,25,40,35,6.57,18.234,21.94,3,I think these are all interesting theories It is easy to say it is unknowable but that is possible answer Thikning is it all by design is also easy I personally think it was probably a random occurence How to we create the big bang How is it calculated I think it a random occurence combined with evolution that got us where we are However so many people believe that it was a design and have for so long that maybe those of the past know something I did not I tried to weigh personal beliefs with possibility when distrubing the tokens,5.581,5.581,149.905,1,3,5,6.773,13.291,15.538,3,60,10.449,10.449,11.581,1,15,3,2,3,2,0,4,3,5,4,1,44,85,2,Roman Catholic who practices privately in my own way,2,20826,44,Male,White,United States,United States,United States,English,No,Part-Time
72.111.0.5,259,8/24/26 11:01,R_7LcAyV4RIPiOLu8,33.4122,-112.0287,602f329284781fbf09e0cafc,cosmo,0,0,37.819,0,0,0,5.73,0,40,10,50,5.052,13.957,16.148,6,I do feel there is a higher power in the universe But there is little proof to go off of to prove its existence,1.23,2.369,39.689,4,3,4,5.719,13.665,14.724,2,40,16.451,19.744,22.197,2,70,2,5,5,2,1,2,2,2,3,1,38,50,2,agnostic and catholic,2,5201,38,Male,White,United States,United States,United States,English,No,Full-Time
96.3.156.247,355,8/24/26 11:01,R_7tifAkzRUsa8l5o,46.8045,-100.7865,607f7f18d84d010ea2cd8664,cosmo,0,0,53.232,0,0,0,15.029,0,80,20,0,4.517,18.329,21.721,2,The universe is maintained by god but also random events occurring as well It is mostly gods decisions and will because of miracles and blessings he has given Random events occur often too changing things and how they occur,1.565,1.565,104.244,1,5,1,5.37,16.552,18.169,3,5,18.874,18.874,20.069,1,10,3,3,5,2,0,6,1,1,1,1,26,100,1,Christian,2,8902,26,Female,Mixed,United States,United States,United States,English,No,Full-Time
50.192.223.177,364,8/24/26 11:02,R_3PnkxsRQVqJvH42,38.7609,-121.2867,60906c79f8cfd718d6dcb3df,cosmo,0,0,21.55,0,0,0,13.687,0,0,20,80,8.569,20.2,21.591,3,I believe that it is ultimately impossible to know how or where the origin of life and the world began Even though there is plenty of evidence that some type of big bang event happened that still doesnt explain to me how or why or where the big bang event came from These thoughts are what were behind my logic and educated guesses,1.199,171.446,174.501,4,3,2,4.832,14.847,17.667,2,35,8.444,8.444,9.517,1,25,1,5,3,2,0,1,3,5,5,1,37,100,11,I dont follow or have a religion that I practice,2,4935,38,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
47.156.231.103,398,8/24/26 11:05,R_532GdJf3yWKp1kt,34.2773,-118.5001,60ff13bf692c2c24bfe600fd,cosmo,43.741,55.926,55.946,2,0,0,18.338,0,35,65,0,7.904,16.604,21.289,2,I believe in the big bang theory I lean scientific in my view on the origin of life,6.774,93.649,103.235,3,3,3,7.419,20.966,21.947,3,60,11.504,11.504,12.319,1,5,2,4,4,3,1,1,3,3,3,1,49,95,8,Buddhist,2,2970,49,Female,Asian,United States,United States,Vietnam,English,DATA_EXPIRED,DATA_EXPIRED
96.58.178.52,484,8/24/26 11:05,R_668ymp16ygDeadQ,28.0791,-82.5245,6123d102b713b8a947fd2eb2,cosmo,0,0,72.801,0,0,0,17.431,0,70,5,25,29.342,40.565,46.501,6,My personal beliefs tend to favor the grand design approach However I can appreciate an alternate theory on our Universal creation Lastly it could all be random a theory I dont put much stock in but there is always a slight possibility,4.301,4.301,146.38,1,3,2,6.048,18.628,19.946,2,54,7.442,7.442,10.239,1,52,2,5,4,2,1,1,3,3,4,1,53,21,6,Judaism,2,12527,53,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
174.164.149.169,253,8/24/26 11:01,R_3S2jiBriI2ZSRHd,47.1445,-122.2548,616b2966d0aee4f9879a656b,cosmo,7.533,41.836,45.203,3,0,0,24.886,0,88,12,0,2.398,2.398,9.642,1,The specifics of the universe are more detailed than the note that was given here Ive read a lot of books about how so many things are linked or designed in a way that cant possibly be random I believe in God and I think theres such a crazy order and design that it would be silly to think the world couldnt have been formed by intelligent design,1.349,1.349,69.875,1,2,1,2.974,8.747,10.973,3,40,3.437,5.5,10.042,2,60,2,5,5,4,0,6,1,1,1,1,43,46,1,Christian,2,11077,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
174.109.180.23,706,8/24/26 11:11,R_1sRdUEZIydCFDuy,35.8964,-78.7115,623a4d7294028cfe9638272f,cosmo,0,0,28.513,0,0,0,14.506,0,10,70,20,15.796,51.627,54.226,6,There seems to be plenty of scientific evidence pointing to a completely natural undirected development and life of the universe Though I was raised Catholic and prefer to believe that there is an afterlife for my own peace of mind there is no scientific evidence proving that there is design or deity behind everything Perhaps I should have allotted more tokens to the unknowable category,1.428,1.428,199.711,1,1,3,3.033,10.357,10.973,3,18,9.103,9.103,14.846,1,25,2,4,1,4,0,2,3,2,4,1,58,100,2,My present religious practice is entirely private I dont attend church but I identify as Catholic having been raised in the church and raising my daughter with that foundation as well I like to think that my values were shaped for the better by my religious upbringing and my current distance from most of the bureaucracy and abuses committed by the church over the years,2,9633,58,Female,White,United States,United States,United States,English,No,Part-Time
69.247.79.210,335,8/24/26 11:03,R_5QVLZEdNw6ND4na,32.2879,-106.7591,62897d2024f826ea90b7efa1,cosmo,0,0,30.467,0,0,0,10.616,0,0,0,100,7.558,7.558,13.362,1,How can anyone determine what happen millions or billions of years ago with the limited knowledge of the universe It is pure nonsense to assume anything at all about the origin of the universe,1.647,1.647,77.742,1,2,3,5.917,23.142,24.039,4,35,11.39,11.39,12.478,1,20,2,4,4,5,31,5,1,1,1,1,73,2,1,non denominational evangelical,2,16603,73,Female,White,United States,United States,United States,English,No,Part-Time
135.180.168.248,710,8/24/26 11:10,R_1FHDW3hBQLhlGsF,37.8922,-122.2729,62a15df1dd6fa394ea04f063,cosmo,4.184,4.184,61.674,1,0,0,14.63,0,18,32,50,11.125,71.984,82.601,9,I dont think theres anything that explicitly proves there is or is not a director of the universe so unknowable got weighted the most Ive seen that a lot of processes conceivably could be undirected but there being a director setting the rules might be possible as well,2.1,190.696,210.527,12,2,3,6.894,67.21,72.824,3,42,15.223,24.356,26.81,2,27,2,4,3,2,0,1,5,5,5,1,46,77,2,Catholic in background but not really practicing,2,9817,46,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
24.131.117.212,337,8/24/26 11:07,R_7S81tS9NCOpG8Vk,40.5776,-80.2323,639611cf1d89fe7abe73b6f9,cosmo,6.788,9.499,10.686,3,0,0,11.115,0,20,20,60,4.344,37.013,38.445,10,I feel that there is no concrete way to prove it disprove these theories There can be good guesses but I dont see how to prove for sure,1.401,1.401,76.942,1,3,4,7.096,14.7,16.643,7,76,15.001,19.774,20.779,5,9,2,4,3,3,2,3,2,4,4,1,57,53,2,Catholic,2,5567,57,Female,White,United States,United States,United States,English,No,Part-Time
68.4.153.127,266,8/24/26 11:01,R_5xYkSn2cogYdiVP,33.735,-117.785,63d42902a85ae3e7b4920266,cosmo,14.174,15.708,21.019,5,3.698,3.698,4.662,1,70,20,10,4.853,5.163,17.181,3,I think there is mostly some directed sense in the universe There is also some degree of uncertainty But I think most people would agree with it There is also some people that dont think so but thats OK It really feels like there is some degree of direction in the universe,1.112,1.112,62.11,1,4,3,1.155,5.153,6.062,3,72,3.063,3.063,3.8,1,68,2,4,4,3,0,1,3,3,3,1,37,21,8,buddhist,2,10718,36,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
47.27.142.33,300,8/24/26 11:01,R_6Hk5Au8U9WzDeak,41.1314,-100.7751,63d6873b65a6170d64a652f6,cosmo,22.076,22.841,23.527,2,0,0,5.022,0,70,15,15,1.49,18.311,30.225,2,I believe that it is much more likely than not that an intelligent mind is behind the creation of the universe The laws of physics are just so incredibly fine tuned I dont understand how this could be explained by random chance I believe the source of creation sits outside space and time,1.059,1.059,126.105,1,1,4,5.131,15.113,16.451,4,40,8.511,9.047,10.662,2,63,1,4,3,1,1,4,3,2,1,1,43,34,1,Lutheran,2,13205,43,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68.97.79.175,263,8/24/26 11:10,R_32AmvieXSDszRmi,35.4834,-97.6315,640251127760d333fdfa7bb8,cosmo,5.809,18.277,19.54,4,6.448,6.448,10.136,1,30,30,40,2.407,23.709,26.834,7,I went for a fairly equal distribution I want to believe it was intelligent creation but u have doubts and I also feel a lot is unknown,3.531,3.531,57.844,1,3,4,3.418,13.253,15.405,5,26,4.553,8.139,12.299,2,31,1,3,5,1,3,3,3,2,2,1,53,28,1,Methodist,2,2948,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
24.180.193.109,246,8/24/26 11:01,R_5FJv2E53tOt6qWj,43.0608,-85.9485,645179915e31c1aeb3dc8129,cosmo,0.771,0.771,17.145,1,0,0,8.248,0,0,95,5,9.734,20.264,23.222,3,The religious theory holds no water for me because I believe the scientific version makes much more sense and sounds correct Any other theory to me has no scientific backing and goes on faith not facts,1.903,1.903,90.85,1,4,2,0.816,17.275,18.093,4,64,1.092,4.717,5.887,2,67,2,4,4,4,0,1,5,5,5,1,62,44,10,Atheist,2,11563,62,Male,White,United States,United States,United States,English,No,Full-Time
184.59.184.90,234,8/24/26 11:01,R_5tsc7iSsY7EKOzR,40.825,-81.3398,65b537602cf1fbd4f77c7909,cosmo,0,0,18.089,0,0,0,6.677,0,80,5,15,2.926,2.926,7.196,1,I gave all tokens to the first question because I truly believe in God and I believe that God made Earth and all living creatures on Earth We would not be here if it wasnt for God,2.017,2.017,77.378,1,5,1,4.363,8.698,13.967,2,80,11.528,11.528,12.723,1,20,2,4,4,4,1,4,2,2,2,1,60,20,1,Lutheran,2,6390,60,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
73.61.42.114,290,8/24/26 11:04,R_1E3Rr2brydzKJxE,42.8948,-70.8712,65c0ed76e2e195876cfd9b74,cosmo,0,0,14.588,0,0,0,9.282,0,100,0,0,14.523,14.523,16.942,1,I believe the universe was created by God and therefore discarded the other options because I personally do not feel they are true,2.885,2.885,88.195,1,2,4,3.481,20.623,21.353,4,65,5.523,7.562,9.393,2,8,1,3,4,2,25,5,1,1,1,1,57,0,4,Although I am technically an Eastern Orthodox Christian I tend to label myself as a Christian rather than tying myself to a certain religion,2,13890,57,Male,White,United States,United States,United States,English,No,Full-Time
172.59.108.7,592,8/24/26 11:06,R_5RlvhzcJEsb1SRn,29.9813,-90.1663,65c10e1bba59f80070501946,cosmo,0,0,47.737,0,0,0,18.03,0,0,90,10,15.827,41.88,44.392,4,To me nothing in the world makes sense I cannot wrap my head around why some things happen and why some things dont so I think things just happen randomly and many people try to justify why these things happen I also think that because I feel so disconnected from the world and everything around me I just feel nothing has a purpose and nothing has a legitimate reason Whatever happened just happened and I dont know why and there is no reason to try to explain why because I will never really know and it wont make a difference in my life I think that is why I mainly distributed my tokens that way because I dont feel connected to anything so I have no deep feelings or thoughts,1.442,198.351,200.77,10,4,4,6.981,14.524,23.871,2,30,14.863,14.863,19.369,1,0,1,3,1,1,0,1,5,5,5,1,37,50,11,I dont believe in anything I used to say Agnostic but I dont think that fits anymore So maybe Im not really Agnostic maybe Im an Atheist,2,3887,37,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
160.87.0.221,221,8/24/26 11:04,R_5olsOAIUXI7emJz,33.7873,-117.9231,6613806ccc390085132f9c99,cosmo,0,0,29.002,0,0,0,10.268,0,15,5,80,3.186,3.186,25.06,1,I feel that we dont truly know the purpose of the universe and why things work the way they do I put a few certainty tokens in the other two options because its also possible that there is one main purpose or it can be random,1.068,1.068,48.653,1,4,3,5.272,13.228,13.742,3,40,8.658,8.658,9.6,1,30,2,5,5,3,4,3,2,2,1,1,32,90,2,Catholic,2,2621,32,Male,Asian,Philippines,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
72.88.86.218,278,8/24/26 11:03,R_7RX3cjMND7wWR4O,42.9436,-78.8369,662966f0b2169f8047af1345,cosmo,0,0,37.411,0,0,0,15.18,0,20,50,30,12.349,22.422,31.727,3,The universe as we know it is hard to decipher We are relying on past accounts which may or may not be accurate especially since the orgin was so long ago,2.437,2.437,61.656,1,4,4,4.032,11.958,13.259,2,14,13.341,13.341,14.794,1,5,3,4,4,3,0,1,4,3,2,1,57,81,2,catholic,2,5173,57,Female,White,United States,United States,United States,English,No,Full-Time
97.223.170.251,271,8/24/26 11:09,R_54Od4Dsz7A3nq5s,41.9025,-87.6726,662c4ffd0c38df0273bc9e18,cosmo,0,0,24.485,0,0,0,8.532,0,60,0,40,7.368,15.387,20.375,3,I think there is no way that it is all just random I have a science background and that lets me put some credence to the unknowable I am also Catholic I believe in a higher power and that there is reasoning and organization to the universe,4.288,55.001,62.497,2,2,3,5.262,17.002,18.008,3,68,10.144,12.345,13.219,2,10,3,2,2,3,1,5,2,2,2,1,42,94,2,Roman Catholic,2,1064,42,Female,White,United States,United States,United States,English,No,Part-Time
47.40.174.231,430,8/24/26 11:11,R_3sdKvkawGj6uLmV,43.6077,-83.9498,6692e6d4b97500a3b6f6efec,cosmo,0,0,100.261,0,0,0,19.726,0,100,0,0,5.813,37.086,42.201,2,I believe there is one source responsible for all and that is god This place we call life isnt just random it comes from a finite source,5.333,5.333,55.496,1,5,3,4.621,12.734,13.358,3,42,13.57,15.973,16.631,2,63,2,5,5,3,2,5,1,1,1,1,39,10,4,Christian,2,3411,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
172.56.208.136,454,8/24/26 11:10,R_7M0rW3njN10mnPi,36.1788,-115.1715,66ad1e08076381b48ffb7d79,cosmo,14.883,23.26,24.791,4,0,0,6.628,0,60,20,20,3.302,39.059,39.925,8,I would say that I believe in a true way of things one thats paradoxically unknowable Its like the Daoist belief that the Dao cannot be named But once you know the Dao you know it and at the same time know you know nothing I feel there is a creator but at the same time the way of things is guided by randomness With that in mind I allocated the tokens equally among a created universe and a random one Then I put the majority of my tokens on the fact that we can never know the true nature of the universe You simply cant Considering we only perceive through your own perception theres no way to ever verify things as fact It just made sense to me to distribute the tokens the way I did considering my logic and beliefs,2.202,2.202,185.801,1,1,4,6.885,26.702,28.084,5,55,23.032,23.032,23.7,1,45,4,3,5,3,0,5,1,3,2,1,25,50,8,Buddhist,2,1313,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
172.56.27.237,543,8/24/26 11:09,R_173i3dOfqfJ7rfI,40.8691,-73.9191,66b30d310ddfa04ca4274bf1,cosmo,6.487,37.189,53.863,10,12.428,12.428,20.196,1,30,10,60,5.064,43.844,44.925,12,I ultimately believe we dont truly have answers to these questions I would possibly agree with the random design perspective except we have humans who were created that I believe have a soul and consciousness Were part of living matter with these characteristics not just solid liquid or gas objects,5.358,113.657,160.3,3,4,4,4.88,26.726,27.5,9,30,11.565,12.074,12.836,2,69,2,4,4,4,0,4,2,4,4,1,53,80,13,Spiritual not religious,2,828,53,Male,Black,United States,United States,United States,English,No,Other
204.98.206.106,711,8/24/26 11:31,R_5lRXFQxjAFzMqxx,37.1325,-113.5041,66b598dd25c412ddb950c593,cosmo,0,0,5.984,0,0,0,14.851,0,100,0,0,43.473,58.446,62.031,5,I distributed my tokens based on my own beliefs and dont feel like i needed to give them to any other framework because I dont support those views,0.913,62.093999999999994,67.25999999999999,9,5,4,2.304,12.419,13.19,3,84,27.485,27.485,28.839,1,67,3,3,5,3,1,3,1,2,3,1,42,8,5,Christian non denom,2,1078,42,Female,Other,United States,United States,United States,English,No,Full-Time
150.221.119.1,396,8/24/26 11:02,R_1ba3z9LsYf2aRIR,40.7653,-73.9589,66b68e2b2c21a7ed557cf866,cosmo,2.255,11.789,22.454,5,0,0,10.689,0,0,30,70,8.183,22.998,30.472,5,There is so much about the universe that we just dont know and science cannot fully explain yet Until humans explore more of space and master the technology with which to do that we dont know what we dont know What we do know is that there is no evidence to suggest a divine power or spirituality that guides anything The universe is unfolding without direction and as far as we know on its own based on the laws of physics as we know them,6.843,12.443,187.594,2,1,4,5.624,17.805,18.537,5,20,5.984,12.155,13.549,2,70,3,5,2,1,0,1,5,5,5,1,58,100,11,No religion or beliefs in a higher power,2,9399,58,Male,White,United States,United States,United States,English,No,Full-Time
73.121.146.194,360,8/24/26 11:02,R_3jO8rh5sjQVmt4l,36.6612,-80.924,66d1a34290c0181302a08f66,cosmo,1.463,42.886,50.079,2,0,0,9.767,0,0,10,90,8.865,19.637,27.649,2,We do not truly know We have our understood science which only tells us so much Maybe one day we will know with certainty but that isnt today,3.542,4.633,73.001,2,3,1,4.245,20.811,22.442,3,42,12.79,17.803,18.655,3,4,2,3,3,2,0,1,1,1,1,1,42,100,11,I dont have a religion I call the beach my church because I feel at peace there,2,8094,42,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
162.191.209.171,712,8/24/26 11:13,R_1CrumFW9JwRH3vf,44.9926,-92.9537,670d816961bebcb45b53b929,cosmo,0,0,82.643,0,0,0,14.966,0,0,70,30,24.928,29.231,33.233,2,I based my allocation on empirical science the universes behavior is consistently explained by physical laws without invoking supernatural intervention However I acknowledge that origin questions remain beyond full empirical proof so I reserved tokens for uncertainty My full 70 30 split reflects high confidence in naturalistic mechanisms while leaving room for the unknown,28.183,197.273,202.387,5,4,4,5.907,36.017,36.849,2,18,24.639,24.639,25.685,1,70,2,4,4,3,20,4,3,2,2,1,37,30,2,Catholicism,2,4886,37,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
140.233.249.64,419,8/24/26 11:17,R_6zvAMzZgJw2MVrf,37.751,-97.822,673bc7364722159a7c678802,cosmo,0,0,71.365,0,0,0,21.984,0,0,60,40,10.551,15.928,18.528,2,The world events occur in a random manner many cannot be predicted The suffering that humans go through cannot be because of a supreme being,1.305,40.714,84.543,3,1,4,6.459,13.802,14.627,2,40,8.341,10.316,11.058,2,85,1,2,5,3,7,5,2,4,4,1,36,10,2,Christian,2,3430,36,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
71.92.88.211,204,8/24/26 11:10,R_6fq2zhaxOfnCNYJ,39.645,-119.8738,67461d4d0e1f14c52691668e,cosmo,11.843,24.572,28.166,5,0,0,6.749,0,1,66,33,3.161,14.578,18.58,5,I do believe in a higher power but I believe it is more of just nature working its way out and I think that if there is anything metaphysical then it is a noble but it is certainly not just some dude sitting up in the sky and making all the decisions,4.264,4.264,29.986,1,3,5,4.535,13.167,13.753,4,58,6.535,10.263,10.904,4,60,2,3,2,3,0,1,4,5,4,1,34,52,10,Atheist,2,6482,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
50.81.62.249,574,8/24/26 11:12,R_6Ne9NTddyBeiQ9z,37.168,-93.3039,675354c455030f7ac6a19d47,cosmo,30.815,91.536,96.838,4,0,0,18.073,0,87,3,10,14.701,28.915,32.439,5,I know that God is real the Bible is real Jesus is real and the earth was created by God There is no doubt in my mind that this was all created by God I have had personal experiences throughout my life that have affirmed that belief and God tells us in the Bible how everything was created,3.073,142.444,143.543,3,1,4,21.901,41.048,42.383,5,68,11.574,11.574,16.098,1,10,1,1,5,2,8,6,1,1,1,1,45,50,1,Non denominational Christian,2,3898,45,Male,White,United States,United States,United States,English,Yes,Full-Time
35.146.214.175,290,8/24/26 11:02,R_7n0B7bVIt6VUlAh,29.9891,-97.8772,67d46a8b5b34b2142875e4a4,cosmo,0,0,29.748,0,0,0,16.175,0,100,0,0,5.918,12.461,14.627,2,Everything we have in the world today has had an origin a designer if you will I believe that is also true of the universe It did not just come into existence,2.803,32.655,54.678,4,4,2,5.796,22.073,23.166,3,30,8.283,8.283,16.56,1,74,1,5,3,1,23,5,1,1,1,1,60,50,5,Christianity,2,1204,62,Female,White,United States,United States,United States,English,No,Part-Time
